lat,lng
42.358357673,-71.026468513
42.340296327,-71.026468513
42.339085213,-71.027932983
42.338002895,-71.029571725
42.337062984,-71.031364131
42.336277300,-71.033287661
42.335655724,-71.035318126
42.335206072,-71.037429991
42.334933998,-71.039596698
42.334842926,-71.041791
42.334933998,-71.043985302
42.335206072,-71.046152009
42.335655724,-71.048263874
42.336277300,-71.050294339
42.361591016,-71.052217869
42.337062984,-71.052217869
42.360651105,-71.054010275
42.338002895,-71.054010275
42.359568787,-71.055649017
42.339085213,-71.055649017
42.358357673,-71.057113487
42.340296327,-71.057113487
42.357032992,-71.058385267
42.341621008,-71.058385267
42.355611404,-71.059448365
42.343042596,-71.059448365
42.354110787,-71.060289411
42.352550010,-71.060897828
42.346103990,-71.060897828
42.350948702,-71.061265967
42.347705298,-71.061265967
42.349327,-71.061389196
